x,y
0.00,40.00
1.00,41.75
2.00,43.50
3.00,45.25
4.00,47.00
5.00,48.75
6.00,50.50
7.00,52.25
8.00,54.00
9.00,55.75
10.00,57.50
11.00,59.25
12.00,61.00
13.00,62.75
14.00,64.50
15.00,66.25
16.00,68.00
17.00,69.75
18.00,71.50
19.00,73.25
20.00,75.00
21.00,76.75
22.00,78.50
23.00,80.25
24.00,82.00
25.00,83.75
26.00,85.50
27.00,87.25
28.00,89.00
29.00,90.75
30.00,92.50
31.00,94.25
32.00,96.00
33.00,97.75
34.00,99.50
35.00,101.25
36.00,103.00
37.00,104.75
38.00,106.50
39.00,108.25
40.00,110.00
41.00,111.75
42.00,113.50
43.00,115.25
44.00,117.00
45.00,118.75
46.00,120.50
47.00,122.25
48.00,124.00
49.00,125.75
50.00,127.50
51.00,129.25
52.00,131.00
53.00,132.75
54.00,134.50
55.00,136.25
56.00,138.00
57.00,139.75
58.00,141.50
59.00,143.25
60.00,145.00
61.00,146.75
62.00,148.50
63.00,150.25
64.00,152.00
65.00,153.75
66.00,155.50
67.00,157.25
68.00,159.00
69.00,160.75
70.00,162.50
71.00,164.25
72.00,166.00
73.00,167.75
74.00,169.50
75.00,171.25
76.00,173.00
77.00,174.75
78.00,176.50
79.00,178.25
80.00,180.00
81.00,181.75
82.00,183.50
83.00,185.25
84.00,187.00
85.00,188.75
86.00,190.50
87.00,192.25
88.00,194.00
89.00,195.75
90.00,197.50
91.00,199.25
92.00,201.00
93.00,202.75
94.00,204.50
95.00,206.25
96.00,208.00
97.00,209.75
98.00,211.50
99.00,213.25
